Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
607,flat,ramprastha the edge towers,sector 37d,0.8,8889.0,2,2,3,10.0,Relatively New,1310.0,0,0,0,0,1,1,166
608,flat,bestech altura,sector 79,1.85,8605.0,3,4,3+,11.0,New Property,1946.0,0,1,0,0,0,1,49
609,flat,rof ananda,sector 95,0.55,5500.0,3,2,2,14.0,New Property,866.0,1,0,0,0,0,0,30
610,house,international city by sobha phase 2,sector 109,8.48,23556.0,4,6,3+,3.0,New Property,3600.0,1,1,1,1,0,1,153
611,flat,ireo victory valley,sector 67,3.49,12998.0,3,3,3,19.0,Relatively New,2724.0,0,1,0,0,0,1,103
612,house,kothi,sector 17b,6.95,15444.0,4,4,3+,2.0,Old Property,3500.0,1,1,1,1,0,1,33
613,flat,godrej nature plus,sector 33,1.4,15119.0,3,2,3+,20.0,New Property,113.0,0,0,0,0,0,1,70
615,flat,chd avenue,sector 71,1.0,6734.0,3,3,3+,3.0,Relatively New,1344.0,0,0,0,0,0,2,7
616,flat,the lions cghs,sector 56,2.1,8750.0,3,4,3+,8.0,Old Property,2200.0,0,0,0,0,1,2,166
617,flat,ss the leaf,sector 85,2.13,7575.0,4,4,3,6.0,Relatively New,2600.0,0,0,0,0,0,1,49
618,flat,dlf the arbour,sector 63,7.52,18999.0,4,4,3,15.0,New Property,3956.0,0,0,0,0,0,1,61
619,flat,corona optus,sector 37c,1.26,7250.0,3,3,3,4.0,New Property,1400.0,0,0,0,0,0,1,28
620,flat,madhur jeevan apartments,sector 56,1.59,8595.0,4,3,3+,3.0,Old Property,1900.0,0,0,0,0,1,2,33
621,house,sare crescent parc royal greens phase 1,sector 92,0.85,4877.0,4,4,3,4.0,Relatively New,1743.0,0,0,0,0,0,1,0
622,flat,sare crescent parc,sector 92,0.7,5556.0,3,3,2,14.0,Under Construction,140.0,0,0,0,0,0,1,38
623,flat,the lions cghs,sector 56,2.05,7885.0,4,4,3+,6.0,Relatively New,2500.0,0,0,0,0,1,2,101
624,flat,unitech the palms,sector 41,2.75,16768.0,3,3,2,14.0,Old Property,1640.0,0,0,0,0,0,0,79
625,flat,vatika city,sector 49,1.98,9074.0,3,4,3,9.0,Moderately Old,1750.75,0,1,0,0,0,2,101
626,house,international city by sobha phase 2,sector 109,9.5,26389.0,7,6,3,3.0,Relatively New,3600.0,1,1,0,1,0,1,138
627,flat,tata primanti,sector 72,3.5,11427.0,4,5,3+,16.0,Relatively New,2625.0,0,1,0,0,1,1,31
628,house,independent,sector 55,3.55,24500.0,4,4,3+,2.0,Old Property,1449.0,0,0,0,0,0,2,27
629,flat,smart world gems,sector 89,0.86,7797.0,2,3,2,4.0,New Property,1226.0,1,1,0,1,0,2,72
630,flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,1956.0,0,1,0,0,0,0,0
631,flat,adani aangan arcade,sector 88a,0.45,7188.0,2,2,1,8.0,New Property,695.0,0,0,0,0,0,1,14
632,flat,bhemerlei,sohna road road,0.69,5100.0,2,2,2,3.0,Under Construction,1350.0,0,0,0,0,0,1,0
633,house,independent,sector 110,0.34,6800.0,1,1,0,1.0,Moderately Old,500.0,0,0,0,0,0,1,0
634,flat,ireo victory valley,sector 67,2.95,12110.0,3,3,3+,14.0,Moderately Old,2236.0,0,1,0,1,0,2,165
635,flat,ireo victory valley,sector 67,3.5,14583.0,3,4,3,24.0,Relatively New,2490.0,0,1,0,1,0,2,149
636,flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,3,3,2,6.0,Under Construction,1619.0,0,0,0,0,0,1,24
637,flat,dlf express greens,manesar,1.2,6504.0,3,4,2,5.0,Relatively New,1670.0,0,1,0,0,1,1,43
638,flat,tulip petals,sector 89,1.1,7097.0,3,2,3,4.0,New Property,1550.0,0,0,0,0,0,1,0
639,flat,ireo the corridors,sector 67a,1.4,9434.0,2,2,2,8.0,Relatively New,1149.0,1,0,0,0,1,1,90
640,flat,tulip violet,sector 69,1.55,9639.0,3,3,2,2.0,Relatively New,1455.0,0,0,0,1,0,2,86
641,flat,sbr minda sec-1 imt manesar,manesar,0.64,4194.0,3,2,3+,6.0,Old Property,1696.0,0,0,0,0,0,1,51
642,house,independent,sector 43,5.5,28424.0,1,1,0,1.0,Old Property,1935.0,0,0,0,0,1,1,12
643,flat,chd avenue,sector 71,1.1,6790.0,3,3,3,11.0,Relatively New,1466.0,0,0,0,0,1,1,72
644,flat,godrej nature plus,sector 33,1.3,8349.0,3,2,3+,18.0,New Property,1409.0,0,0,0,0,0,1,38
645,house,independent,sector 25,6.6,36667.0,6,7,3+,2.0,Moderately Old,1800.0,1,1,0,0,0,2,119
646,house,independent,sector 31,4.25,26235.0,5,5,3+,3.0,Moderately Old,1620.0,0,0,1,1,0,2,56
647,house,bptp pedestal,sector 70a,0.92,7751.0,2,3,3+,3.0,New Property,1319.0,0,0,0,0,1,1,153
648,flat,breez global heights,sohna road,0.4,6421.0,2,2,1,4.0,New Property,615.0,0,0,0,0,0,1,49
649,flat,dlf regal gardens,sector 90,1.15,6326.0,3,3,3+,18.0,Relatively New,1645.0,0,0,0,1,0,2,130
650,flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,1,0
651,flat,smart world gems,sector 89,1.0,9033.0,2,2,2,1.0,Under Construction,1230.0,1,0,0,0,0,1,38
652,flat,bestech altura,sector 79,1.9,9000.0,3,4,2,11.0,New Property,2389.0,0,1,0,0,0,1,49
653,flat,dlf the ultima,sector 81,2.2,10461.0,3,3,3+,5.0,Relatively New,1570.0,1,1,0,1,1,0,49
654,flat,dlf regal gardens,sector 90,1.78,8040.0,4,4,3+,12.0,Relatively New,2005.0,0,0,0,0,0,1,61
655,house,sushant lok 1 builder floors,sector 43,2.45,7756.0,4,4,3+,3.0,Moderately Old,540.0,1,1,0,1,1,0,123
656,flat,smart world orchard,sector 61,2.45,15796.0,3,3,3,3.0,New Property,1223.0,1,1,0,0,0,1,119
657,flat,pareena laxmi apartments,sector 99a,0.31,5905.0,2,2,2,6.0,New Property,583.0,0,0,0,0,0,1,74
658,flat,shree vardhman flora,sector 90,0.7,4614.0,2,2,3,9.0,New Property,1224.0,1,0,0,0,1,1,51
659,flat,paras dews,sector 106,1.35,8940.0,4,3,3,19.0,Old Property,1678.0,0,1,0,0,0,1,112
660,house,international city by sobha phase 1,sector 109,5.75,16429.0,4,4,2,3.0,Relatively New,4800.0,0,1,0,0,0,1,146
661,flat,dlf new town heights,sector 90,1.25,6477.0,3,3,3+,17.0,Relatively New,1700.0,0,1,0,1,0,1,65
662,house,independent,sector 3,3.5,9211.0,1,1,0,1.0,Moderately Old,3800.0,0,0,0,0,0,1,0
663,flat,conscient habitat,sector 99a,0.27,5602.0,2,2,1,8.0,Relatively New,538.0,0,0,0,0,1,1,49
664,flat,experion windchants,sector 112,3.75,13383.0,3,3,2,21.0,Relatively New,2225.56,0,1,0,0,0,2,159
665,flat,m3m skywalk,sector 74,1.54,11000.0,2,2,3+,22.0,Relatively New,1200.0,0,0,0,0,1,1,137
666,house,independent,sector 4,0.58,9619.0,2,2,1,2.0,Moderately Old,67.0,0,0,0,1,1,1,7
667,flat,tata primanti,sector 72,5.25,15648.0,4,4,3+,30.0,New Property,3000.0,0,1,0,0,0,2,174
668,house,independent,sector 2,3.65,23443.0,3,9,3+,3.0,New Property,1557.0,0,1,0,1,0,2,116
669,flat,mahindra aura,sector 110,1.8,8815.0,3,3,3+,7.0,Relatively New,1850.0,0,1,0,0,0,2,136
670,house,anshul,sector 6,0.85,7727.0,2,2,0,4.0,Moderately Old,1222.0,0,0,0,0,0,1,0
672,flat,professional society,manesar,0.75,3067.0,3,4,3,3.0,Relatively New,2717.0,0,1,0,0,0,1,21
673,house,ansal celebrity homes,sector 2,5.2,10000.0,4,5,2,1.0,Moderately Old,5200.0,0,0,0,0,0,1,0
674,flat,m3m woodshire,sector 107,0.9,6589.0,2,2,3+,14.0,New Property,1236.0,0,0,0,0,0,1,67
675,flat,dlf regal gardens,sector 90,1.25,7340.0,3,3,3,28.0,Moderately Old,1541.0,0,1,0,0,0,1,38
676,house,unitech aspen greens,sector 50,7.0,32407.0,4,4,2,2.0,Old Property,2160.0,0,1,0,0,0,1,29
677,house,unitech escape,sector 50,12.0,37037.0,5,6,3+,3.0,Moderately Old,3240.0,0,0,0,0,0,1,66
678,flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,11.0,New Property,1529.0,0,0,0,0,0,1,45
679,flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3,3,3,2.0,Relatively New,1524.0,1,1,0,0,0,2,136
680,flat,ansal heights 86,sector 86,1.05,5541.0,3,3,3,9.0,Under Construction,1715.0,0,1,0,0,0,1,0
681,flat,ramshanti cooperative society,sector 52,1.76,7243.0,4,4,3+,12.0,New Property,2199.0,0,0,0,0,0,1,0
682,flat,bestech park view ananda,sector 81,1.1,6687.0,3,2,3+,5.0,Relatively New,1319.0,0,0,0,0,0,1,150
683,flat,sare crescent parc,sector 92,0.8,6033.0,3,2,2,3.0,Relatively New,1473.0,0,0,0,0,0,1,15
684,flat,vatika emilia floors,sector 83,0.6,5714.0,2,2,2,1.0,Relatively New,990.0,0,0,0,0,0,2,167
685,flat,orris aster court,sector 85,0.93,5671.0,3,3,3,8.0,Relatively New,1587.0,0,0,0,0,0,1,0
686,house,eldeco mansionz,sector 48,6.4,23704.0,4,4,3,3.0,Moderately Old,2700.0,0,1,1,0,0,2,151
687,flat,emaar gurgaon greens,sector 102,1.45,8788.0,3,3,2,7.0,Relatively New,1493.0,0,1,0,0,0,1,169
688,flat,ss the leaf,sector 85,1.18,10727.0,2,2,3,9.0,Relatively New,1700.0,1,0,0,0,0,2,150
689,house,rwa sector 46,sector 46,3.5,21605.0,4,4,2,2.0,Relatively New,1620.0,0,0,0,1,0,2,30
691,house,vatika india next,sector 83,1.7,7870.0,3,3,3+,4.0,New Property,2160.0,0,1,0,1,0,1,0
692,flat,sidhartha ncr one phase,sector 95,0.55,4867.0,2,2,2,14.0,New Property,1256.0,1,0,0,0,0,1,90
693,flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10492.0,2,2,2,10.0,Relatively New,828.0,0,0,0,0,0,1,132
694,flat,trisara our homes 3,sohna road,0.35,5564.0,2,2,1,2.0,New Property,699.0,0,0,0,0,0,1,74
695,flat,tulip ivory,sector 70,5.0,10417.0,6,7,3+,0.0,Relatively New,5333.0,1,1,0,0,0,1,119
696,house,independent,sector 3 phase 3 extension,0.55,5000.0,2,1,0,1.0,Moderately Old,1100.0,0,0,0,0,0,1,0
697,flat,eldeco accolade,sector 33,1.2,8043.0,2,2,2,0.0,Under Construction,1492.0,0,0,0,0,0,1,56
698,flat,m3m skywalk,sector 74,2.2,10902.0,3,3,3,12.0,New Property,1826.0,1,0,0,0,0,2,15
699,flat,umang winter hills,sector 77,1.35,7781.0,3,3,3+,7.0,New Property,1451.0,0,0,1,0,0,2,96
700,flat,godrej nature plus,sector 33,1.2,13363.0,2,2,0,11.0,Under Construction,85.0,0,0,0,0,0,1,56
701,flat,signature global park 4,sector 36,0.72,6660.0,3,2,3,3.0,Under Construction,978.0,0,0,0,0,0,1,0
702,house,independent,sector 12,0.7,6034.0,3,3,0,1.0,Relatively New,1160.0,0,0,0,0,0,1,23
703,flat,tulip violet,sector 69,1.43,8888.0,3,3,2,1.0,Relatively New,1455.0,0,0,0,1,0,1,86
704,flat,hcbs sports ville,sohna road,0.22,4603.0,1,1,1,9.0,Relatively New,477.809521,0,0,0,0,0,2,44
705,flat,m3m golfestate,sector 65,5.2,17456.0,3,3,3,18.0,Relatively New,2696.0,1,1,0,0,0,2,76
706,flat,godrej oasis,sector 88a,1.3,7259.0,3,3,3+,4.0,Relatively New,1990.0,0,0,0,0,0,1,79
707,flat,tulip lemon,sector 69,0.62,12863.0,2,2,1,4.0,Relatively New,536.0,0,0,0,0,0,2,108
708,flat,ramsons kshitij,sector 95,0.33,3910.0,2,2,1,14.0,New Property,694.0,0,0,0,0,1,2,79
709,flat,mittal surya vihar,sector 21,0.8,7080.0,2,2,2,6.0,Old Property,1256.0,0,0,0,0,0,1,0
710,flat,dlf royalton tower,sector 43,6.5,22109.0,4,5,2,8.0,Relatively New,2661.0,0,1,0,0,0,1,15
711,house,independent,sector 26,20.0,44444.0,5,7,3+,3.0,Relatively New,4500.0,0,1,0,1,0,0,97
712,flat,imperia the esfera,sector 37c,0.86,5450.0,2,3,3,9.0,Relatively New,1442.0,1,0,0,0,1,1,49
714,flat,ansals highland park,dwarka expressway,1.2,6186.0,3,3,3+,4.0,Under Construction,1940.0,0,1,0,0,0,1,0
715,flat,breez global heights,sohna road,0.46,6479.0,2,2,2,6.0,Relatively New,789.0,0,0,0,0,0,0,49
716,house,independent,sector 2,6.0,20000.0,4,4,1,2.0,Relatively New,3000.0,0,0,0,0,0,1,0
717,flat,m3m golfestate,sector 65,5.4,18127.0,3,4,3,19.0,Moderately Old,2696.0,1,1,0,0,0,2,174
718,flat,rof ananda,sector 95,0.26,6032.0,1,1,1,8.0,New Property,406.0,0,0,0,0,0,1,49
719,flat,sapphire eighty three,sector 83,0.65,9286.0,1,1,0,6.0,Relatively New,700.0,0,0,0,0,0,1,0
720,flat,emaar the palm drive,sector 66,3.9,18634.0,3,4,3,2.0,Relatively New,2200.0,0,0,0,0,0,1,0
721,house,independent,sector 7,3.1,13778.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,1,22
722,house,independent,sohna road,1.55,14720.0,2,3,2,1.0,New Property,1053.0,1,0,0,1,0,2,49
723,house,sobha city,sector 108,10.5,14323.0,5,4,3+,1.0,Relatively New,7331.0,0,0,0,0,0,1,59
724,flat,godrej aria,sector 79,1.0,6653.0,2,2,2,4.0,Relatively New,1300.0,1,0,0,0,0,1,49
725,flat,vatika independent floors,sector 82,1.16,6988.0,3,3,3+,1.0,Relatively New,1844.0,0,1,1,1,0,2,151
726,flat,tata primanti,sector 72,5.0,11111.0,4,4,3+,2.0,Moderately Old,4500.0,1,1,0,1,1,2,174
727,house,independent,sector 38,4.0,21786.0,6,6,3+,4.0,Old Property,1836.0,1,1,0,1,1,2,137
728,flat,m3m sierra 68,sector 68,1.2,9002.0,2,2,3,1.0,Relatively New,982.0,0,0,0,0,0,0,76
729,flat,dlf the skycourt,sector 86,1.58,8191.0,3,3,1,16.0,Relatively New,1750.0,0,0,0,1,0,2,152
730,flat,greenopolis,sector 89,0.8,4819.0,2,3,3,8.0,Under Construction,1502.0,1,0,0,0,1,1,60
731,flat,signature global park,sohna road,0.85,7863.0,3,2,2,4.0,New Property,1080.0,0,0,0,0,0,1,23
732,flat,tulip violet,sector 69,1.4,8917.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,1,86
733,house,independent,sector 2,1.15,19360.0,3,3,2,2.0,Old Property,594.0,0,0,0,0,0,2,32
734,flat,guru gram haryana cghs,sector 56,1.39,7228.0,3,3,3,4.0,Moderately Old,1738.0,1,0,0,0,0,2,134
735,flat,pioneer araya,sector 62,9.2,19944.0,4,6,3,5.0,Relatively New,3867.0,0,1,0,1,0,2,156
736,flat,godrej frontier,sector 80,1.4,6189.0,3,4,2,10.0,Moderately Old,1854.0,0,0,1,1,0,1,111
738,flat,bptp astaire gardens,sector 70a,0.97,6585.0,3,3,3+,1.0,Relatively New,1339.0,0,0,0,0,1,1,149
739,flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1310.0,0,0,0,0,0,2,97
740,flat,signature global city 81,sector 81,0.8,14652.0,2,2,2,4.0,Under Construction,607.0,1,0,0,0,0,1,36
741,flat,raheja teachers apartments,sector 31,1.2,7273.0,3,2,2,1.0,Moderately Old,1450.0,0,0,0,0,1,0,105
742,house,independent,sector 23,5.5,21825.0,8,8,2,3.0,Moderately Old,2520.0,1,1,0,1,0,2,76
743,house,independent,sector 4,0.55,4074.0,3,3,2,2.0,Relatively New,1350.0,0,0,0,0,1,1,7
744,house,palam vihar extension west zone rwa,sector 2,0.65,5778.0,2,2,1,1.0,Moderately Old,1125.0,0,0,1,0,0,1,23
745,flat,project krishna colony,sector 7,0.36,5143.0,2,2,1,0.0,Relatively New,700.0,0,0,0,0,0,1,0
746,flat,emaar mgf palm terraces select,sector 66,3.4,14108.0,4,4,3+,2.0,Relatively New,2210.0,0,1,0,0,0,2,157
747,house,independent,sohna road road,5.5,5093.0,3,3,3+,2.0,Moderately Old,3500.0,1,1,0,1,1,1,49
748,flat,tulip violet,sector 69,1.92,15360.0,4,4,2,0.0,Relatively New,1389.0,0,0,0,0,0,1,174
749,flat,today callidora,sector 73,1.0,7692.0,2,2,2,13.0,New Property,1444.0,0,0,0,0,0,1,0
750,flat,m3m sierra 68,sector 68,1.05,8537.0,2,2,2,11.0,New Property,1200.0,0,0,0,0,0,2,127
752,house,sushant lok 1 builder floors,sector 43,1.65,3395.0,4,4,3+,4.0,Moderately Old,540.0,0,0,0,0,1,0,49
754,flat,pareena coban residences,sector 99a,1.4,7011.0,3,5,3+,6.0,New Property,1807.0,0,0,0,0,0,1,15
756,flat,housing board colony,sector 51,0.3,7317.0,1,1,2,0.0,Old Property,459.0,0,0,0,0,0,1,0
757,flat,m3m skycity,sector 65,1.8,13699.0,2,2,3,13.0,New Property,1456.0,0,0,0,0,0,1,73
758,flat,ardee city,sector 52,1.55,7381.0,4,4,3,1.0,Moderately Old,2100.0,0,0,0,0,0,1,0
760,flat,ireo the corridors,sector 67a,1.5,11111.0,2,2,2,10.0,Relatively New,1500.0,0,0,1,0,0,2,38
761,flat,raheja vedaanta,sector 108,1.5,5263.0,3,4,0,12.0,Relatively New,2850.0,0,0,0,0,0,1,0
762,flat,zara aavaas,sector 104,0.22,7309.0,1,2,2,2.0,New Property,335.0,0,0,0,0,0,1,60
763,flat,godrej nature plus,sector 33,1.5,9677.0,3,3,3,6.0,Under Construction,1403.0,1,0,0,0,0,1,72
764,flat,hcbs sports ville,sohna road,0.28,3769.0,2,2,1,11.0,Relatively New,743.0,0,0,0,0,0,1,38
765,flat,shri banke bihari society,sector 56,1.35,6750.0,3,3,3,5.0,Old Property,1800.0,0,0,0,0,1,2,82
766,flat,pareena coban residences,sector 99a,1.05,6774.0,2,2,3,2.0,Relatively New,1390.0,1,0,0,0,0,1,49
767,flat,tulip violet,sector 69,3.05,9664.0,4,5,3+,14.0,Relatively New,2856.0,0,1,0,0,1,1,49
768,flat,ireo skyon,sector 60,3.75,13393.0,4,4,3,12.0,Relatively New,2650.0,0,1,0,0,0,2,49
769,flat,palam vihar society,sector 2,3.35,7444.0,4,4,3+,2.0,New Property,5000.0,1,0,0,0,0,1,66
770,flat,emaar digihomes,sector 62,4.25,26562.0,3,3,3,8.0,Under Construction,1600.0,1,0,0,0,0,1,16
771,flat,maxworth city residences,sector 10a,0.8,6400.0,2,3,2,9.0,New Property,1389.0,0,0,0,0,0,1,46
772,flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,4,4,3+,3.0,Relatively New,1734.0,0,0,0,0,0,1,93
773,flat,tulip lemon,sector 69,0.6,11407.0,2,1,1,11.0,Relatively New,584.0,0,0,0,0,0,1,0
774,flat,unitech fresco,sector 50,1.82,9913.0,3,3,3+,14.0,Moderately Old,1830.0,0,0,0,0,1,2,174
775,flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929.0,3,3,3,6.0,New Property,1616.0,0,0,0,1,0,2,174
776,house,independent,sector 105,1.15,3285.0,3,2,1,1.0,Moderately Old,3889.0,0,0,0,0,0,1,0
777,flat,vatika city homes,sector 83,0.8,6061.0,2,2,2,8.0,Moderately Old,1195.0,0,0,1,0,0,1,22
778,house,dlf city plots phase 4,sector 28,9.54,29444.0,6,5,3+,3.0,New Property,3240.0,1,1,1,1,0,1,153
779,flat,kiran residency,sector 56,1.5,6649.0,3,5,3+,4.0,Moderately Old,2250.0,1,0,0,1,0,2,134
780,flat,ss the leaf,sector 85,1.58,7715.0,3,4,3,8.0,Relatively New,2227.0,0,1,0,0,0,1,159
781,flat,orris aster court premier,sector 85,1.25,5896.0,3,4,2,6.0,Relatively New,1616.0,0,1,0,0,0,2,49
782,flat,signature global city 92,sector 92,0.78,11143.0,2,2,3,2.0,Under Construction,846.0,0,0,0,0,1,1,24
783,flat,sare crescent parc,sector 92,0.65,4597.0,3,3,3,3.0,Moderately Old,1571.0,0,0,0,0,0,1,44
784,flat,experion windchants,sector 112,5.31,11205.0,4,6,3+,15.0,Relatively New,3573.33,0,1,0,1,0,1,72
785,flat,tata primanti,sector 72,4.1,14099.0,4,5,3+,39.0,New Property,2629.0,0,1,0,0,1,1,103
786,flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370.0,2,2,3,7.0,Relatively New,1100.0,0,0,0,0,0,2,49
787,flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,0.0,Moderately Old,5350.0,0,0,0,0,0,1,63
788,flat,ansal sushant lok ci,sector 43,2.0,15152.0,3,3,2,1.0,Old Property,1467.0,0,1,0,0,0,0,15
789,flat,dlf the skycourt,sector 86,1.6,8294.0,3,3,3+,9.0,Relatively New,1548.0,0,0,0,0,1,2,167
790,house,independent,sector 49,4.5,15625.0,8,8,3,3.0,Moderately Old,2880.0,1,1,1,1,0,0,151
791,flat,hcbs sports ville,sohna road,0.24,7407.0,1,1,2,1.0,New Property,360.0,0,0,0,0,0,1,68
792,flat,imperia aashiyara,sector 37c,0.4,5882.0,2,2,3,3.0,Under Construction,756.0,0,0,0,0,0,1,126
793,house,independent,sector 36,0.66,7166.0,2,2,3,4.0,New Property,823.0,0,0,0,0,0,1,0
794,flat,conscient elevate,sector 59,3.9,16993.0,3,1,0,0.0,Under Construction,2295.0,0,0,0,0,0,1,0
795,flat,aipl club residences,sector 70a,0.85,9140.0,2,2,2,5.0,Relatively New,842.0,0,0,0,0,0,2,45
796,flat,pivotal devaan,sector 84,0.35,7277.0,2,2,1,10.0,Relatively New,531.0,0,0,1,0,0,1,103
797,flat,the lions cghs,sector 56,1.99,11056.0,4,4,3+,4.0,Old Property,2000.0,0,0,0,1,1,2,105
798,flat,supertech araville,sector 79,0.71,6063.0,2,2,3+,17.0,New Property,1280.0,0,0,0,0,1,1,53
799,flat,godrej summit,sector 104,0.85,5878.0,2,2,3+,10.0,Relatively New,1269.0,1,0,0,0,0,1,79
800,house,independent,sector 7,6.5,15046.0,3,2,3+,2.0,Old Property,4320.0,0,0,0,0,0,1,9
801,flat,aipl joy square,sector 63a,0.7,10101.0,1,1,0,7.0,Under Construction,693.0,0,0,0,0,0,1,0
802,house,ss hibiscus,sector 50,12.25,20940.0,5,7,3+,1.0,Relatively New,5850.0,1,1,0,1,1,2,160
803,flat,m3m sky lofts,sector 71,1.0,11494.0,1,1,1,9.0,Moderately Old,869.0,0,0,0,0,0,1,77
804,flat,m3m urbana,sector 67,0.95,10894.0,1,1,1,17.0,Relatively New,826.0,0,0,0,0,0,1,49
805,house,independent,sector 15,1.07,11889.0,2,2,1,1.0,Old Property,900.0,0,1,0,0,0,1,7
806,flat,pyramid urban homes 2,sector 86,0.5,9615.0,2,2,1,10.0,Relatively New,578.0,0,0,0,0,0,1,15
807,flat,eldeco accolade,sohna road,1.35,6136.0,3,3,3,2.0,New Property,2444.0,0,1,0,0,0,1,72
808,flat,dlf the crest,sector 54,11.0,35484.0,4,5,3+,7.0,Relatively New,3444.0,1,1,0,1,0,1,49
809,flat,adani brahma samsara vilasa,sector 63,3.0,16667.0,3,3,3,3.0,New Property,2000.0,0,0,0,0,0,1,24
810,flat,shree vardhman victoria,sector 70,1.55,7949.0,3,5,3,8.0,Relatively New,1527.0,0,1,0,0,0,1,174
811,flat,ats triumph,sector 104,1.75,7642.0,3,4,3+,11.0,Relatively New,2072.0,0,1,0,0,0,1,110
812,house,independent,sector 10a,4.25,17955.0,4,3,2,1.0,Moderately Old,2367.0,0,0,0,0,0,1,0
814,flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,2,2,2,2.0,Relatively New,778.0,0,0,0,0,0,1,0
815,flat,godrej aria,sector 79,1.95,8519.0,3,4,3+,10.0,New Property,1659.0,0,1,0,0,0,1,32
816,flat,parsvnath green ville,sector 48,3.3,9985.0,5,5,3+,4.0,Old Property,3305.0,0,1,0,0,0,1,71
817,flat,mittal cosmos executive apartments,sector 2,0.75,6550.0,2,2,2,15.0,Old Property,1100.0,0,0,0,0,0,2,42
819,flat,ramprastha the edge towers,sector 37d,1.1,5528.0,3,3,3,9.0,Relatively New,1990.0,0,0,0,0,0,1,63
820,flat,shree vardhman victoria,sector 70,1.6,8205.0,3,5,3,6.0,Relatively New,1527.0,0,1,0,0,0,1,108
821,house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000.0,7,9,3+,3.0,Moderately Old,9000.0,1,1,1,1,0,0,74
822,flat,m3m woodshire,sector 107,0.9,5867.0,2,2,3,8.0,Relatively New,1281.0,1,0,0,0,0,2,74
823,flat,bptp terra,sector 37d,1.78,8124.0,4,3,3,10.0,Relatively New,1983.0,0,1,0,0,0,1,127
824,flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3,3,3,1.0,Relatively New,1531.0,0,0,0,0,0,1,141
825,flat,capital residences 360,sector 70a,1.69,8553.0,3,3,3+,8.0,New Property,1900.0,0,1,0,0,0,1,165
826,flat,m3m merlin,sector 67,3.39,14377.0,3,4,3,14.0,Relatively New,2100.0,0,1,0,0,0,2,26
827,flat,adani aangan galleria,sector 89,0.42,4941.0,2,2,2,3.0,Relatively New,769.0,0,0,0,0,0,1,0
828,flat,conscient heritage max,sector 102,1.78,9218.0,3,4,3+,5.0,Moderately Old,1748.0,0,1,0,0,0,1,125
829,flat,mvn athens,sohna road,0.25,4259.0,2,2,1,0.0,Relatively New,587.0,0,0,0,0,0,1,38
830,flat,paras dews,sector 106,1.25,7102.0,3,4,3+,5.0,Relatively New,1186.0,0,1,0,0,0,1,165
831,flat,sbtl caladium,sector 109,1.26,6542.0,3,2,3,8.0,Relatively New,1701.0,0,0,0,0,0,1,103
832,flat,new sathi apartments,sector 54,1.59,7067.0,3,3,3+,3.0,Moderately Old,2250.0,1,0,0,0,0,2,127
833,flat,emaar palm gardens,sector 83,1.8,9474.0,3,4,3,4.0,Relatively New,1551.0,1,1,1,1,0,2,174
834,house,independent,sector 14,6.46,18889.0,5,5,2,3.0,Moderately Old,3420.0,1,1,0,1,0,2,27
835,flat,godrej aria,sector 79,1.3,8844.0,2,2,2,7.0,Relatively New,1330.0,1,0,0,0,0,2,116
836,flat,ss almeria,sector 84,1.5,7500.0,3,3,3,2.0,New Property,1849.0,0,1,0,0,0,1,108
837,house,independent,sector 105,1.2,13333.0,4,4,1,2.0,Moderately Old,900.0,0,0,0,0,1,1,14
838,flat,birla navya,sector 63a,2.2,17488.0,2,3,3+,4.0,Under Construction,997.0,0,0,0,0,0,1,60
839,flat,pyramid urban,sector 67a,0.6,8571.0,2,2,2,14.0,New Property,633.0,0,0,0,0,0,1,15
840,flat,ireo the grand arch,sector 58,3.8,17560.0,3,4,1,19.0,Moderately Old,2164.0,0,1,0,0,0,2,167
841,flat,unitech vistas,sector 70,0.99,6326.0,3,4,2,11.0,Under Construction,1416.0,0,0,0,0,0,1,0
842,flat,mapsko mount ville,sector 79,1.3,8025.0,3,3,2,6.0,Relatively New,1215.0,1,0,0,1,0,1,151
843,flat,orchid island,sector 51,0.71,7889.0,2,2,1,4.0,Relatively New,1007.0,0,0,0,0,0,1,23
